test,count,min_ms,max_ms,mean_ms,median_ms,stddev_ms
client,100,87.714000,1574.677000,570.704690,522.785000,322.313112
cloud,100,48552.921000,50348.797000,49405.203610,49392.462500,283.814265
enclave,100,38294.424000,39290.488000,38753.334300,38732.789000,208.347117
