test,count,min_ms,max_ms,mean_ms,median_ms,stddev_ms
client,100,32.590000,69.143000,40.511930,37.752500,7.653782
cloud,100,57.591000,102.108000,70.773250,71.372500,9.089212
enclave,100,29.127000,29.844000,29.409330,29.390000,0.127604
